symbol,name,sector,market,price,money_volume,day_volume_score,week_volume_score
ACCS,ACCESS Newswire Inc.,Sin clasificar,AMEX,0,0,1,1
ACU,Acme United Corporation,Sin clasificar,AMEX,0,0,1,1
AEF,"abrdn Emerging Markets ex-China Fund, Inc.",Sin clasificar,AMEX,0,0,1,1
AEON,"AEON Biopharma, Inc.",Sin clasificar,AMEX,0,0,1,1
AGIG,Abundia Global Impact Group Inc.,Sin clasificar,AMEX,0,0,1,1
AIB,AIB Data Centers Inc.,Sin clasificar,AMEX,0,0,1,1
AIM,AIM ImmunoTech Inc.,Sin clasificar,AMEX,0,0,1,1
AIRI,Air Industries Group,Sin clasificar,AMEX,0,0,1,1
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),Sin clasificar,AMEX,0,0,1,1
AMS,American Shared Hospital Services,Sin clasificar,AMEX,0,0,1,1
AMZE,"Amaze Holdings, Inc.",Sin clasificar,AMEX,0,0,1,1
APT,"Alpha Pro Tech, Ltd.",Sin clasificar,AMEX,0,0,1,1
APUS,"Apimeds Pharmaceuticals US, Inc.",Sin clasificar,AMEX,0,0,1,1
AREN,"The Arena Group Holdings, Inc.",Sin clasificar,AMEX,0,0,1,1
ARMP,"Armata Pharmaceuticals, Inc. Common Stock",Sin clasificar,AMEX,0,0,1,1
ASM,Avino Silver & Gold Mines Ltd. (Canada),Sin clasificar,AMEX,0,0,1,1
ATCH,"AtlasClear Holdings, Inc.",Sin clasificar,AMEX,0,0,1,1
ATNM,"Actinium Pharmaceuticals, Inc",Sin clasificar,AMEX,0,0,1,1
AUST,Austin Gold Corp.,Sin clasificar,AMEX,0,0,1,1
AWX,Avalon Holdings Corp.,Sin clasificar,AMEX,0,0,1,1
AXIL,"AXIL Brands, Inc.",Sin clasificar,AMEX,0,0,1,1
AZTR,Azitra Inc,Sin clasificar,AMEX,0,0,1,1
BATL,Battalion Oil Corporation,Sin clasificar,AMEX,0,0,1,1
BCHT,Birchtech Corp.,Sin clasificar,AMEX,0,0,1,1
BCV,Bancroft Fund Ltd.,Sin clasificar,AMEX,0,0,1,1
BDL,Flanigan's Enterprises Inc,Sin clasificar,AMEX,0,0,1,1
BESS,Bimergen Energy Corporation,Sin clasificar,AMEX,0,0,1,1
BESS.WS,"Bimergen Energy Corporation Warrants, each share exercisable to purchase one share of Common Stock",Sin clasificar,AMEX,0,0,1,1
BGI,Birks Group Inc,Sin clasificar,AMEX,0,0,1,1
BHB,Bar Harbor Bankshares,Sin clasificar,AMEX,0,0,1,1
BHM,"Bluerock Homes Trust, Inc.",Sin clasificar,AMEX,0,0,1,1
BKTI,BK Technologies Corporation,Sin clasificar,AMEX,0,0,1,1
BQ,Boqii Holding Limited,Sin clasificar,AMEX,0,0,1,1
BRBS,"Blue Ridge Bankshares, Inc.",Sin clasificar,AMEX,0,0,1,1
BRIA,BrilliA Inc,Sin clasificar,AMEX,0,0,1,1
BRN,"Barnwell Industries, Inc.",Sin clasificar,AMEX,0,0,1,1
BTG,B2Gold Corp.,Sin clasificar,AMEX,0,0,1,1
BUDA,"Buda Juice, Inc.",Sin clasificar,AMEX,0,0,1,1
BURU,"Nuburu, Inc.",Sin clasificar,AMEX,0,0,1,1
CANF,"Can-Fite BioPharma Ltd. American Depositary Shares, each representing two (2) Ordinary Shares",Sin clasificar,AMEX,0,0,1,1
CATX,"Perspective Therapeutics, Inc.",Sin clasificar,AMEX,0,0,1,1
CCEL,Cryo-Cell International Inc.,Sin clasificar,AMEX,0,0,1,1
CET,Central Securities Corp.,Sin clasificar,AMEX,0,0,1,1
CEV,Eaton Vance California Municipal Income Trust,Sin clasificar,AMEX,0,0,1,1
CHOW,ChowChow Cloud International Holdings Limited,Sin clasificar,AMEX,0,0,1,1
CIK,Credit Suisse Asset Management Income Fund Inc.,Sin clasificar,AMEX,0,0,1,1
